set,probe,dn_median_km,dn_maxabs_km,cross_time,rN_km,time,shear_deg,sigma_deg,ref,tgt,pred_err_median_s,pred_err_mean_s,pred_err_std_s
all_1243,1,-843.2676580223854,5643.815602385914,,,,,,,,,,
all_1243,2,-879.1987114625701,4829.214992803419,,,,,,,,,,
all_1243,3,-57.06597107572567,983.8395647109526,,,,,,,,,,
all_1243,4,-374.4213160385224,2425.361752558293,,,,,,,,,,
all_1243,2,,,2019-01-27T12:15:25+00:00,-5185.255127790403,,,,,,,,
all_1243,1,,,2019-01-27T12:15:26+00:00,-10441.716447941322,,,,,,,,
all_1243,4,,,2019-01-27T12:15:27+00:00,-12065.350188931523,,,,,,,,
all_1243,3,,,2019-01-27T12:15:30+00:00,-3396.6333480500853,,,,,,,,
all_1243,1,,,,,2019-01-27T12:18:00+00:00,150.40817164562804,9.906832231198736,,,,,
all_1243,2,,,,,2019-01-27T12:18:00+00:00,150.73828837024158,11.83703441145354,,,,,
all_1243,3,,,,,2019-01-27T12:18:00+00:00,145.10055407304782,15.268532638971319,,,,,
all_1243,4,,,,,2019-01-27T12:18:00+00:00,146.07523788664372,15.060291342363854,,,,,
all_1243,,,,,,,,,1,2,4.058996,41.55949846666667,150.62868803988377
all_1243,,,,,,,,,1,3,4.241515,1.4990947333333333,15.87298919710383
all_1243,,,,,,,,,1,4,1.054855,4.829541533333333,15.055818499373071
all_1243,,,,,,,,,2,1,-3.0834215,-3.7591929166666667,10.950649413806739
all_1243,,,,,,,,,2,3,4.927278,3.3836545833333336,18.653840591101353
all_1243,,,,,,,,,2,4,-1.2469605,-0.4327530833333337,16.024689435415866
all_1243,,,,,,,,,3,1,-2.6263135,5.4299225625,20.65382959023012
all_1243,,,,,,,,,3,2,2.670452,41.386178124999994,148.42195463484762
all_1243,,,,,,,,,3,4,-2.3172615,4.1353804375,19.434540644391078
all_1243,,,,,,,,,4,1,-1.152763,0.5326997333333333,11.535824992373817
all_1243,,,,,,,,,4,2,2.29642,40.28441193333334,147.22549393840362
all_1243,,,,,,,,,4,3,3.36628,4.0546786,15.080176499495188
mixed_1230_1243,1,-843.2676580223854,5643.815602385914,,,,,,,,,,
mixed_1230_1243,2,-879.1987114625701,4829.214992803419,,,,,,,,,,
mixed_1230_1243,3,-68.58850021414378,1040.2171024166894,,,,,,,,,,
mixed_1230_1243,4,-470.5612774234528,3094.46649461833,,,,,,,,,,
mixed_1230_1243,2,,,2019-01-27T12:15:25+00:00,-5185.255127790403,,,,,,,,
mixed_1230_1243,1,,,2019-01-27T12:15:26+00:00,-10441.716447941322,,,,,,,,
mixed_1230_1243,4,,,2019-01-27T12:15:27+00:00,22548.825238055473,,,,,,,,
mixed_1230_1243,3,,,2019-01-27T12:15:30+00:00,5923.576308664859,,,,,,,,
mixed_1230_1243,1,,,,,2019-01-27T12:18:00+00:00,150.40817164562804,9.906832231198736,,,,,
mixed_1230_1243,2,,,,,2019-01-27T12:18:00+00:00,150.73828837024158,11.83703441145354,,,,,
mixed_1230_1243,3,,,,,2019-01-27T12:18:00+00:00,145.10055407304782,15.268532638971319,,,,,
mixed_1230_1243,4,,,,,2019-01-27T12:18:00+00:00,145.11537189183647,17.116911390820878,,,,,
mixed_1230_1243,,,,,,,,,1,2,4.058996,41.55949846666667,150.62868803988377
mixed_1230_1243,,,,,,,,,1,3,3.143976,-0.30090526666666645,15.722108696989292
mixed_1230_1243,,,,,,,,,1,4,0.957109,1.4295415333333337,18.130921708516368
mixed_1230_1243,,,,,,,,,2,1,-3.0834215,-3.7591929166666667,10.950649413806739
mixed_1230_1243,,,,,,,,,2,3,7.616462,4.383654583333334,18.723490881729838
mixed_1230_1243,,,,,,,,,2,4,1.6475680000000001,2.733913583333333,18.52812617596388
mixed_1230_1243,,,,,,,,,3,1,0.31557599999999997,7.9012149375,21.089059249737872
mixed_1230_1243,,,,,,,,,3,2,0.05382349999999997,42.164023875000005,149.20496177462275
mixed_1230_1243,,,,,,,,,3,4,0.1415945,3.2238623750000004,22.06941320707102
mixed_1230_1243,,,,,,,,,4,1,0.033768500000000035,1.0688490714285714,15.75428800157508
mixed_1230_1243,,,,,,,,,4,2,4.6767385,41.78680457142857,155.02575448051758
mixed_1230_1243,,,,,,,,,4,3,0.28436449999999996,1.2335130714285714,28.478421117109605
algorithmic,1,116.83813885666844,4963.57933699748,,,,,,,,,,
algorithmic,2,233.99160173834517,4883.175509295619,,,,,,,,,,
algorithmic,3,105.04969528339124,1122.4402091533218,,,,,,,,,,
algorithmic,4,109.68889202732264,2137.171714704543,,,,,,,,,,
algorithmic,2,,,2019-01-27T12:15:09+00:00,4177.316706029357,,,,,,,,
algorithmic,1,,,2019-01-27T12:15:26+00:00,4199.577843307465,,,,,,,,
algorithmic,4,,,2019-01-27T12:15:27+00:00,4225.160203130671,,,,,,,,
algorithmic,3,,,2019-01-27T12:15:30+00:00,4287.2409629265685,,,,,,,,
algorithmic,1,,,,,2019-01-27T12:18:00+00:00,147.61243058024525,19.10024651400223,,,,,
algorithmic,2,,,,,2019-01-27T12:18:00+00:00,150.0537134620098,15.144405567299804,,,,,
algorithmic,3,,,,,2019-01-27T12:18:00+00:00,143.643730918771,17.904664736172503,,,,,
algorithmic,4,,,,,2019-01-27T12:18:00+00:00,143.24627706659945,22.583710681110045,,,,,
algorithmic,,,,,,,,,1,2,3.601997,26.059724470588236,153.7473004016791
algorithmic,,,,,,,,,1,3,2.468369,0.3013113529411764,15.048805186487302
algorithmic,,,,,,,,,1,4,1.336197,2.7619902352941175,12.12621726246811
algorithmic,,,,,,,,,2,1,-2.313006,2.8270040000000005,15.403617170196812
algorithmic,,,,,,,,,2,3,10.599625,2.844695923076924,19.943291274529034
algorithmic,,,,,,,,,2,4,6.786797,0.47986084615384594,15.951955173376708
algorithmic,,,,,,,,,3,1,3.488822,5.5556360555555555,23.259649149085632
algorithmic,,,,,,,,,3,2,-4.6287955,23.877226277777776,151.24166743714906
algorithmic,,,,,,,,,3,4,-2.3006175,5.912063777777778,21.913048884309685
algorithmic,,,,,,,,,4,1,0.1489045,-0.2819070625,10.233065970386395
algorithmic,,,,,,,,,4,2,-7.1115645,22.031201749999997,155.25762470454808
algorithmic,,,,,,,,,4,3,3.8098915,-0.22586943749999994,13.785001096647152
